Feature,Importance
makes,0.001799017959222011
write,0.0017937561491485825
say,0.0017821414760161396
formats,0.0017795163368699476
features,0.0017743237178678016
words,0.001761424502159587
use,0.0017563681568781237
68070,0.0017336687299717832
guess,0.001730440303985327
deletion,0.0017269684749788598
exists,0.001686979168769701
explaining,0.0016785788704168974
nice,0.0016768078279020058
solution,0.0016551432142854173
bullshit,0.001632194954815229
false,0.001609720669723138
hear,0.0015831156824321995
questions,0.001569588148779467
evolution,0.0015543647185739117
sig,0.0015450876762027525
puts,0.001544769874632097
commission,0.0015184852788192012
caused,0.0015111820376366753
limited,0.001507781805866171
stand,0.001491373049709753
engineering,0.0014859694108445864
realize,0.0014741083391985425
01,0.0014711098660645015
flying,0.0014646269417481475
discussion,0.0014591995317224475
cult,0.0014543301228290484
stereo,0.0014529480158661865
pictures,0.0014400224769447324
killing,0.0014370773901830277
adobe,0.0014351204328494132
simply,0.0014190288651580731
magazine,0.0014176189641561014
tbut,0.0014095291717778013
million,0.0014044888674008596
copyrighted,0.0014004357039845683
views,0.0013915733861500593
heard,0.0013839353717803782
computing,0.0013835629846594138
haven,0.0013739585331607911
cruel,0.0013638297731588566
hold,0.0013619195629409517
suggestions,0.0013619195629409517
matter,0.001356676035888361
shall,0.0013397175854397325
versions,0.001334176757029192
text,0.0013249110490234836
impossible,0.0013108713094596419
shown,0.001281759961625662
depression,0.0012670829271992615
gets,0.0012550990888696278
useful,0.0012358158997056788
issue,0.0011956237771136276
wanted,0.0011894770673268305
bit,0.0011835729535082076
unfortunately,0.0011560232433312561
face,0.0011349329691174596
school,0.001129600509480419
majority,0.0011275667322988149
great,0.001118947997721439
rate,0.0011177370150399204
ready,0.0011167275692013947
theologians,0.001116017419632169
continued,0.001110785459136238
theistic,0.0011097122364704057
derive,0.0011072516771877658
301,0.0011025063128569607
tube,0.0011005410609623842
nickname,0.0010994663138325388
john,0.0010990976177386667
uses,0.0010983222281781859
likely,0.001088147168528839
satanic,0.0010878661088958442
daughter,0.0010876440954042327
middle,0.0010876440954042327
summary,0.0010876440954042327
spherical,0.0010861363342133754
early,0.0010855006970285504
away,0.0010827891401336194
resulting,0.0010815476203959058
conclude,0.00107942668456226
claimed,0.0010794019844526104
clean,0.0010751996549533834
longer,0.00107016913412478
teach,0.0010673752213946782
peter,0.0010660307373520637
participate,0.0010639996585476183
park,0.001059270771176296
contrary,0.001059270771176296
